DATE,DEPT1_SALES,DEPT2_SALES,DEPT3_SALES,DEPT4_SALES,DEPT5_SALES,DEPT6_SALES,DEPT7_SALES,DEPT8_SALES,DEPT9_SALES,DEPT10_SALES,DEPT11_SALES,DEPT12_SALES,DEPT13_SALES,DEPT14_SALES,DEPT15_SALES,DEPT16_SALES,DEPT17_SALES,DEPT18_SALES,DEPT19_SALES,DEPT20_SALES,DEPT21_SALES,DEPT22_SALES,DEPT23_SALES,DEPT24_SALES,DEPT25_SALES,DEPT26_SALES,DEPT27_SALES,DEPT28_SALES,DEPT29_SALES,DEPT30_SALES,DEPT31_SALES,DEPT32_SALES,DEPT33_SALES,DEPT34_SALES,DEPT35_SALES,DEPT36_SALES,DEPT37_SALES,DEPT38_SALES,DEPT39_SALES,DEPT40_SALES,DEPT41_SALES,DEPT42_SALES,DEPT43_SALES,DEPT44_SALES,DEPT45_SALES,DEPT46_SALES,DEPT47_SALES,DEPT48_SALES,DEPT49_SALES,DEPT50_SALES,DEPT51_SALES,DEPT52_SALES,DEPT53_SALES,DEPT54_SALES,DEPT55_SALES,DEPT56_SALES,DEPT57_SALES,DEPT58_SALES,DEPT59_SALES,DEPT60_SALES,DEPT61_SALES,DEPT62_SALES,DEPT63_SALES,DEPT64_SALES,DEPT65_SALES,DEPT66_SALES,DEPT67_SALES,DEPT68_SALES,DEPT69_SALES,DEPT70_SALES,DEPT71_SALES,DEPT72_SALES,DEPT73_SALES,DEPT74_SALES,DEPT75_SALES,DEPT76_SALES,DEPT77_SALES,DEPT78_SALES,DEPT79_SALES,DEPT80_SALES,DEPT81_SALES,DEPT82_SALES,DEPT83_SALES,DEPT84_SALES,DEPT85_SALES,DEPT86_SALES,DEPT87_SALES,DEPT88_SALES,DEPT89_SALES,DEPT90_SALES,DEPT91_SALES,DEPT92_SALES,DEPT93_SALES,DEPT94_SALES,DEPT95_SALES,DEPT96_SALES,DEPT97_SALES,DEPT98_SALES,DEPT99_SALES,_LINEAR_
"Fri, 4 Jan 2013",9515,41733,12461,16655,13439,2429,14618,15260,9769,12999,10836,2685,25864,14879,0,1306,6990,5217,1906,4490,2978,8214,26949,4629,10363,5390,1984,711.3931,4482,3522,2423,3704,4182,13154,2067,711.6326,0,26327,0,37289,3113,5697,0,2806,0.1202,15804,2.9858,0,10111,0.0699,0.1413,2370,0,-19.282,7478,104.5041,0,674.2227,972.6197,198.5204,0,0,0,0,0,0,3476,0,0,0,3878,32595,0,13998,0,0,4.5594,0.000318,18750,47.7302,6160,12491,124.4805,0,844.7194,0,6833,0,0,10946,6393,24119,658.6859,0,37041,0.014,3226,54.0301,2.0301,153
"Fri, 11 Jan 2013",10788,42319,12173,16655,13515,1252,9919,15268,9472,13024,10898,2684,25864,14015,0,1301,6222,1946,1907,4257,2978,7500,30171,4666,11885,6503,1789,708.9464,4742,2848,2864,3544,4686,12315,2067,1690,0,26057,0,37273,3113,5707,0,3322,0.1202,15146,2.9858,0,10111,0.0699,0.1413,2372,0,-21.2045,5849,95.611,0,668.4925,230.1455,198.5204,0,0,0,0,0,0,2968,0,0,0,3878,28818,0,12957,0,0,4.5594,0.000318,18750,48.051,6174,13551,122.9779,0,844.7194,0,6833,0,0,10949,6393,27198,658.7525,-5.0433,37070,0.014,3228,54.0301,2.0301,154
"Fri, 18 Jan 2013",11446,44877,15200,16655,13013,1126,10607,15859,10197,13048,10960,2683,25864,14885,0,1296,6538,1426,1908,4894,2978,7143,29042,4356,12218,6785,1749,706.4997,4841,3417,2526,4511,4471,13210,2067,1238,0,25787,0,37257,3113,5717,0,3976,0.1202,16161,2.9858,0,10111,0.0699,0.1413,2375,0,-23.127,6797,80.0789,0,662.7623,294.854,198.5204,0,0,0,0,0,0,3525,0,0,0,3878,34412,0,11319,0,0,4.5594,0.000318,18750,48.3718,6187,13415,121.4753,0,844.7194,0,6833,0,0,10953,6393,25766,658.819,54.9777,37098,0.014,3230,54.0301,2.0301,155
"Fri, 25 Jan 2013",11580,42496,12872,16655,14235,799.1844,11569,15364,9696,13072,11023,2681,25864,13707,0,1291,5364,1794,1910,3807,2978,5987,26941,4528,12073,7217,1634,704.053,4711,3143,2622,4377,5036,13316,2067,1080,0,25517,0,37241,3113,5727,0,4028,0.1202,16509,2.9858,0,10111,0.0699,0.1413,2377,0,-25.0495,6184,85.457,0,657.0321,295.7796,198.5204,0,0,0,0,0,0,3607,0,0,0,3878,33233,0,11228,0,0,4.5594,0.000318,18750,48.6925,6201,13165,119.9727,0,844.7194,0,6833,0,0,10956,6393,24220,658.8855,213.1867,37127,0.014,3232,54.0301,2.0301,156
"Fri, 1 Feb 2013",12676,42952,10407,16655,18035,1238,13369,16597,11319,13097,11086,2680,25864,15996,0,1286,5166,2926,1911,5448,2978,8904,30063,5760,13011,9093,1789,701.6063,5429,3610,2747,5158,5555,15459,2067,1480,0,25247,0,37226,3113,5737,0,3755,0.1202,16568,2.9858,0,10111,0.0699,0.1413,2379,0,-26.972,8031,421.4964,0,651.3019,427.5106,198.5204,0,0,0,0,0,0,3930,0,0,0,3878,51658,0,10912,0,0,4.5594,0.000318,18750,49.0133,6215,12366,118.4701,0,844.7194,0,6833,0,0,10960,6393,23786,658.952,174.5746,37156,0.014,3235,54.0301,2.0301,157
"Fri, 8 Feb 2013",20995,47868,11306,16655,19350,2517,15330,16254,11974,13121,11149,2679,25864,17235,0,1281,8194,9867,1912,6128,2978,11236,35421,7501,14236,10578,2049,699.1596,6025,4530,3044,6872,7464,18954,2067,1517,0,24978,0,37210,3113,5747,0,4139,0.1202,18246,2.9858,0,10111,0.0699,0.1413,2382,0,-28.8945,9243,530.8124,0,645.5717,489.0171,198.5204,0,0,0,0,0,0,7127,0,0,0,3878,63199,0,12317,0,0,4.5594,0.000318,18750,49.3341,6229,16055,116.9676,0,844.7194,0,6833,0,0,10963,6393,25071,659.0186,96.9175,37185,0.014,3237,54.0301,2.0301,158
"Fri, 15 Feb 2013",29491,49417,11512,16655,19718,2503,16418,16625,12450,13146,11213,2677,25864,18015,0,1276,7899,24340,1914,6136,2978,11921,37209,7684,16814,10972,2374,696.713,7198,4940,3522,15575,8468,20042,2067,983.7939,0,24708,0,37194,3113,5757,0,4219,0.1202,21257,2.9858,0,10111,0.0699,0.1413,2384,0,-30.817,10869,825.337,0,639.8415,650.7145,198.5204,0,0,0,0,0,0,13570,0,0,0,3878,58069,0,14107,0,0,4.5594,0.000318,18750,49.6549,6243,16449,115.465,0,844.7194,0,6833,0,0,10967,6393,24706,659.0851,5858,37213,0.014,3239,54.0301,2.0301,159
"Fri, 22 Feb 2013",11558,48564,11420,16655,16206,1247,16435,17011,13193,13171,11277,2676,25864,16432,0,1272,8480,1141,1915,5955,2978,10324,33337,6999,18278,10231,1832,694.2663,4848,4235,3231,6463,6700,20394,2067,1331,0,24438,0,37178,3113,5767,0,3331,0.1202,18018,2.9858,0,10111,0.0699,0.1413,2386,0,-32.7395,9017,573.8547,0,634.1113,405.6174,198.5204,0,0,0,0,0,0,3921,0,0,0,3878,53869,0,12303,0,0,4.5594,0.000318,18750,49.9757,6256,14841,113.9624,0,844.7194,0,6833,0,0,10970,6393,22884,659.1517,0,37242,0.014,3241,54.0301,2.0301,160
"Fri, 1 Mar 2013",11446,49467,10785,16655,17465,2842,18317,16258,14927,13195,11341,2675,25864,17477,0,1267,8112,250.0918,1917,6601,2978,10719,33279,7625,17285,10909,1873,691.8196,4982,5108,2953,6807,7063,20969,2067,1157,0,24168,0,37162,3113,5777,0,3465,0.1202,19443,2.9858,0,10111,0.0699,0.1413,2389,0,-34.6621,8215,1585,0,628.3811,638.0483,198.5204,0,0,0,0,0,0,3631,0,0,0,3878,54031,0,13196,0,0,4.5594,0.000318,18750,50.2965,6270,14702,112.4598,0,844.7194,0,6833,0,0,10974,6393,22479,659.2182,235.0761,37271,0.014,3243,54.0301,2.0301,161
"Fri, 8 Mar 2013",12785,48102,10837,16655,15600,3366,15584,16293,15352,13220,11406,2674,25864,15980,0,1262,8164,574.8288,1918,6171,2978,9312,35848,6812,19593,10533,1769,689.3729,4419,5237,3090,5969,6410,18570,2067,1444,0,23898,0,37146,3113,5787,0,3507,0.1202,20482,2.9858,0,10111,0.0699,0.1413,2391,0,-36.5846,8510,2073,0,622.6509,477.5782,198.5204,0,0,0,0,0,0,3274,0,0,0,3878,45569,0,11126,0,0,4.5594,0.000318,18750,50.6172,6284,14630,110.9572,0,844.7194,0,6833,0,0,10977,6393,23436,659.2848,89.3726,37300,0.014,3245,54.0301,2.0301,162
"Fri, 15 Mar 2013",12508,48699,8350,16655,18002,2956,18618,16398,19513,13245,11471,2672,25864,15879,0,1257,7002,1192,1920,7025,2978,10061,35957,6603,19708,10150,1683,686.9262,5018,7106,3023,6407,5776,21654,2067,2112,0,23628,0,37130,3113,5797,0,3746,0.1202,20077,2.9858,0,10111,0.0699,0.1413,2393,0,-38.5071,9153,3999,0,616.9207,565.1216,198.5204,0,0,0,0,0,0,3529,0,0,0,3878,41291,0,11708,0,0,4.5594,0.000318,18750,50.938,6298,14613,109.4546,0,844.7194,0,6833,0,0,10981,6393,22322,659.3514,160.0139,37328,0.014,3247,54.0301,2.0301,163
"Fri, 22 Mar 2013",13745,47082,9282,16655,16890,94.2425,16694,15914,15586,13270,11536,2671,25864,15207,0,1252,5363,1937,1921,5196,2978,8457,34635,6639,19834,9353,1583,684.4795,4254,5268,2853,6198,6713,20789,2067,1659,0,23358,0,37114,3113,5807,0,3429,0.1202,18062,2.9858,0,10111,0.0699,0.1413,2396,0,-40.4296,8032,3677,0,611.1905,433.4526,198.5204,0,0,0,0,0,0,3571,0,0,0,3878,36191,0,11487,0,0,4.5594,0.000318,18750,51.2588,6311,13456,107.952,0,844.7194,0,6833,0,0,10984,6393,21719,659.418,46.2908,37357,0.014,3250,54.0301,2.0301,164
"Fri, 29 Mar 2013",19381,44602,9367,16655,16260,2988,18354,16246,16614,13295,11602,2670,25864,14910,0,1247,5765,5648,1922,4842,2978,8957,32779,6334,19531,11011,1532,682.0328,4046,5104,2573,5817,6929,20586,2067,1655,0,23089,0,37098,3113,5817,0,3780,0.1202,18783,2.9858,0,10111,0.0699,0.1413,2398,0,-42.3521,7350,5363,0,605.4603,425.5384,198.5204,0,0,0,0,0,0,3967,0,0,0,3878,36155,0,10192,0,0,4.5594,0.000318,18750,51.5796,6325,13559,106.4494,0,844.7194,0,6833,0,0,10988,6393,21488,659.4845,158.3582,37386,0.014,3252,54.0301,2.0301,165
"Fri, 5 Apr 2013",21020,47622,8937,16655,15919,1980,19328,15696,19007,13320,11668,2668,25864,15398,0,1242,7032,6219,1924,5894,2978,6886,34447,7855,21523,10864,1355,679.5861,4459,5012,2749,5877,7145,22004,2067,1940,0,22819,0,37082,3113,5827,0,4067,0.1202,19459,2.9858,0,10111,0.0699,0.1413,2400,0,-44.2746,6633,4633,0,599.7301,437.0921,198.5204,0,0,0,0,0,0,4333,0,0,0,3878,40980,0,10059,0,0,4.5594,0.000318,18750,51.9004,6339,13314,104.9469,0,844.7194,0,6833,0,0,10991,6393,22534,659.5511,49.2538,37415,0.014,3254,54.0301,2.0301,166
"Fri, 12 Apr 2013",15008,48625,9905,16655,13172,3581,19217,16023,19644,13345,11735,2667,25864,14790,0,1237,5802,2685,1925,5086,2978,7394,36305,7916,21475,10863,1312,677.1394,4200,5436,2640,6434,7385,23530,2067,1493,0,22549,0,37066,3113,5837,0,3872,0.1202,19942,2.9858,0,10111,0.0699,0.1413,2403,0,-46.1971,7387,3932,0,593.9998,382.6229,198.5204,0,0,0,0,0,0,3794,0,0,0,3878,34208,0,10852,0,0,4.5594,0.000318,18750,52.2211,6353,13218,103.4443,0,844.7194,0,6833,0,0,10995,6393,21662,659.6177,113.8043,37443,0.014,3256,54.0301,2.0301,167
"Fri, 19 Apr 2013",14265,50481,9293,16655,13997,1064,19047,16646,18016,13370,11802,2666,25864,14027,0,1233,5760,2702,1927,5145,2978,8036,37173,6884,19708,11101,1315,674.6927,4383,4898,2985,7640,6618,21523,2067,1567,0,22279,0,37050,3113,5847,0,3769,0.1202,20112,2.9858,0,10111,0.0699,0.1413,2405,0,-48.1196,6927,4625,0,588.2696,439.9121,198.5204,0,0,0,0,0,0,4008,0,0,0,3878,35381,0,10875,0,0,4.5594,0.000318,18750,52.5419,6366,13659,101.9417,0,844.7194,0,6833,0,0,10998,6393,22335,659.6843,24.8004,37472,0.014,3258,54.0301,2.0301,168
"Fri, 26 Apr 2013",12723,45938,8250,16655,12269,"-1,910",19442,15991,18410,13395,11869,2664,25864,14150,0,1228,5370,1927,1929,4979,2978,6671,35371,5695,18373,9397,1194,672.2461,4411,5121,2568,6884,5276,20544,2067,1971,0,22009,0,37034,3113,5857,0,3245,0.1202,19238,2.9858,0,10111,0.0699,0.1413,2408,0,-50.0421,6050,3948,0,582.5394,372.0069,198.5204,0,0,0,0,0,0,4276,0,0,0,3878,34205,0,10391,0,0,4.5594,0.000318,18750,52.8627,6380,12705,100.4391,0,844.7194,0,6833,0,0,11002,6393,20399,659.751,199.9141,37501,0.014,3260,54.0301,2.0301,169
"Fri, 3 May 2013",10734,45186,9798,16655,11876,490.6344,18221,16681,17812,13420,11937,2663,25864,16429,0,1223,6162,50.2773,1930,5570,2978,8074,32396,6383,17369,9348,1214,669.7994,4679,4679,2635,8527,5953,19687,2067,1571,0,21739,0,37019,3113,5867,0,3947,0.1202,19746,2.9858,0,10111,0.0699,0.1413,2410,0,-51.9646,5332,3753,0,576.8092,287.7345,198.5204,0,0,0,0,0,0,5952,0,0,0,3878,33252,0,11232,0,0,4.5594,0.000318,18750,53.1835,6394,12617,98.9365,0,844.7194,0,6833,0,0,11005,6393,21340,659.8176,390.4079,37530,0.014,3262,54.0301,2.0301,170
"Fri, 10 May 2013",11112,43900,8169,16655,10788,746.9196,15637,15107,16874,13445,12005,2662,25864,15293,0,1218,6170,-12.9461,1932,4843,2978,5884,34910,5430,16481,8157,1222,667.3527,4961,4807,3046,9517,5252,20390,2067,2030,0,21469,0,37003,3113,5877,0,3756,0.1202,18711,2.9858,0,10111,0.0699,0.1413,2412,0,-53.8872,6257,3168,0,571.079,418.9689,198.5204,0,0,0,0,0,0,10529,0,0,0,3878,35346,0,10500,0,0,4.5594,0.000318,18750,53.5043,6408,12242,97.4339,0,844.7194,0,6833,0,0,11009,6393,20974,659.8842,2181,37558,0.014,3265,54.0301,2.0301,171
"Fri, 17 May 2013",10910,47607,8101,16655,11077,3624,19989,16569,19427,13470,12074,2660,25864,16131,0,1213,7207,-11.2799,1933,5404,2978,6798,36129,6576,18214,9707,1139,664.906,4746,4797,2714,7656,6475,20947,2067,2499,0,21199,0,36987,3113,5887,0,4455,0.1202,21373,2.9858,0,10111,0.0699,0.1413,2415,0,-55.8097,6723,2317,0,565.3488,426.5535,198.5204,0,0,0,0,0,0,7175,0,0,0,3878,33385,0,11107,0,0,4.5594,0.000318,18750,53.8251,6421,13072,95.9313,0,844.7194,0,6833,0,0,11012,6393,21792,659.9508,2689,37587,0.014,3267,54.0301,2.0301,172
"Fri, 24 May 2013",10630,48189,8285,16655,11778,2317,21222,17109,22163,13495,12143,2659,25864,14124,0,1208,7086,-11.1119,1935,5468,2978,7293,38630,7146,18754,9721,1169,662.4593,4703,4958,2396,7025,7485,21736,2067,3471,0,20930,0,36971,3113,5897,0,4408,0.1202,21267,2.9858,0,10111,0.0699,0.1413,2417,0,-57.7322,6795,1524,0,559.6186,363.2848,198.5204,0,0,0,0,0,0,4558,0,0,0,3878,32044,0,10564,0,0,4.5594,0.000318,18750,54.1458,6435,14224,94.4287,0,844.7194,0,6833,0,0,11016,6393,20843,660.0175,484.143,37616,0.014,3269,54.0301,2.0301,173
"Fri, 31 May 2013",10204,47668,7667,16655,13528,1481,26455,16256,24538,13521,12212,2658,25864,13689,0,1203,6219,-10.8478,1936,5719,2978,7241,39768,8011,19775,9275,1022,660.0126,4525,4467,2514,7230,6215,21509,2067,6058,0,20660,0,36955,3113,5907,0,3913,0.1202,21687,2.9858,0,10111,0.0699,0.1413,2420,0,-59.6547,6650,1359,0,553.8884,264.6651,198.5204,0,0,0,0,0,0,4506,0,0,0,3878,35301,0,10638,0,0,4.5594,0.000318,18750,54.4666,6449,13746,92.9261,0,844.7194,0,6833,0,0,11019,6393,21298,660.0841,305.4764,37645,0.014,3271,54.0301,2.0301,174
"Fri, 7 Jun 2013",10538,48821,8592,16655,13095,3928,25349,16187,21814,13546,12282,2657,25864,14708,0,1199,5585,-10.85,1938,6799,2978,7423,39195,5997,17679,9558,1088,657.5659,5314,4489,2805,7209,6646,21769,2067,5197,0,20390,0,36939,3113,5917,0,4315,0.1202,21549,2.9858,0,10111,0.0699,0.1413,2422,0,-61.5772,6372,1105,0,548.1582,281.5563,198.5204,0,0,0,0,0,0,4220,0,0,0,3878,37175,0,10859,0,0,4.5594,0.000318,18750,54.7874,6463,13748,91.4236,0,844.7194,0,6833,0,0,11023,6393,23320,660.1508,65.8906,37673,0.014,3273,54.0301,2.0301,175
"Fri, 14 Jun 2013",10461,50707,7655,16655,14752,3940,23018,16242,20686,13571,12352,2655,25864,15172,0,1194,6090,-7.3247,1940,6000,2978,8300,42923,6129,19746,9326,1110,655.1192,5105,4539,2752,6529,6593,20327,2067,4432,0,20120,0,36923,3113,5927,0,4307,0.1202,21537,2.9858,0,10111,0.0699,0.1413,2424,0,-63.4997,6182,1158,0,542.428,404.3376,198.5204,0,0,0,0,0,0,6371,0,0,0,3878,40203,0,10867,0,0,4.5594,0.000318,18750,55.1082,6476,14252,89.921,0,844.7194,0,6833,0,0,11026,6393,23177,660.2174,259.5101,37702,0.014,3275,54.0301,2.0301,176
"Fri, 21 Jun 2013",11156,49615,8307,16655,13867,2819,22329,16602,21115,13597,12422,2654,25864,14231,0,1189,5464,-10.8563,1941,5511,2978,7556,44949,6840,19949,9222,1229,652.6725,5570,5060,2531,7166,7524,21245,2067,4357,0,19850,0,36907,3113,5937,0,4183,0.1202,21612,2.9858,0,10111,0.0699,0.1413,2427,0,-65.4222,6807,866.8976,0,536.6978,322.2675,198.5204,0,0,0,0,0,0,5740,0,0,0,3878,35677,0,10506,0,0,4.5594,0.000318,18750,55.429,6490,13824,88.4184,0,844.7194,0,6833,0,0,11030,6393,22479,660.2841,108.8024,37731,0.014,3277,54.0301,2.0301,177
"Fri, 28 Jun 2013",10331,48358,7806,16655,12889,1184,21557,15741,23112,13622,12493,2653,25864,13931,0,1184,4148,-8.0769,1943,6017,2978,6437,38811,6456,20139,8185,1097,650.2258,5274,4812,2725,5773,6319,19330,2067,3503,0,19580,0,36891,3113,5947,0,4121,0.1202,21418,2.9858,0,10111,0.0699,0.1413,2429,0,-67.3447,6155,768.4725,0,530.9676,300.2208,198.5204,0,0,0,0,0,0,3600,0,0,0,3878,33323,0,10659,0,0,4.5594,0.000318,18750,55.7497,6504,15687,86.9158,0,844.7194,0,6833,0,0,11033,6393,21713,660.3508,372.8154,37760,0.014,3280,54.0301,2.0301,178
