Id,Weekly_Sales
1_3_2013-02-08,13544.960922210543
1_3_2013-02-15,13006.833305745002
1_3_2013-02-22,12511.145270959425
1_3_2013-03-01,11654.7414956841
1_3_2013-03-08,12923.84149553503
1_3_2013-03-15,12652.335758161385
1_3_2013-03-22,11627.608367343928
1_3_2013-03-29,11761.833512301137
1_3_2013-04-05,11694.414614944779
1_3_2013-04-12,11258.380923689056
1_3_2013-04-19,11268.885076256225
1_3_2013-04-26,10832.078917076233
1_3_2013-05-03,11215.440715134437
1_3_2013-05-10,12096.340402638147
1_3_2013-05-17,11816.308184922396
1_3_2013-05-24,11920.245529252441
1_3_2013-05-31,11242.795050027713
1_3_2013-06-07,10757.080238161107
1_3_2013-06-14,11174.39001934859
1_3_2013-06-21,10915.411298214613
1_3_2013-06-28,10658.236137390391
1_3_2013-07-05,15943.301164163819
1_3_2013-07-12,14933.052330202827
1_3_2013-07-19,16467.559816047018
1_3_2013-07-26,15783.8746146316
1_4_2012-11-02,42522.9299338798
1_4_2012-11-09,40141.786931257426
1_4_2012-11-16,40425.32202812769
1_4_2012-11-23,47805.533775426455
1_4_2012-11-30,40816.16023234826
1_4_2012-12-07,41522.28790484139
1_4_2012-12-14,40568.71604905101
1_4_2012-12-21,48710.23722249769
1_4_2012-12-28,39530.17499382655
1_4_2013-01-04,41106.70427218011
1_4_2013-01-11,37564.464686534135
1_4_2013-01-18,35807.9673061779
1_4_2013-01-25,35580.81333047223
1_4_2013-02-01,43376.73067394031
1_4_2013-02-08,42131.596108841535
1_4_2013-02-15,40160.60906671257
1_4_2013-02-22,39004.23640598035
1_4_2013-03-01,42254.430444053294
1_4_2013-03-08,42330.779837963695
1_4_2013-03-15,41737.255601222
1_4_2013-03-22,40556.64322700824
1_4_2013-03-29,41432.69074567729
1_4_2013-04-05,44228.29385840085
1_4_2013-04-12,40106.36095893156
1_4_2013-04-19,39737.34708052977
1_4_2013-04-26,40085.0461883715
1_4_2013-05-03,44203.165595911596
1_4_2013-05-10,38778.29482818551
1_4_2013-05-17,38291.42214711116
1_4_2013-05-24,41359.69745161526
1_4_2013-05-31,43627.95823253278
1_4_2013-06-07,43489.8647251768
1_4_2013-06-14,41906.7479457128
1_4_2013-06-21,40764.71437464387
1_4_2013-06-28,42720.183940030125
1_4_2013-07-05,46803.626882758435
1_4_2013-07-12,40477.03814585216
1_4_2013-07-19,41513.80823466231
1_4_2013-07-26,38913.801718411036
1_5_2012-11-02,33612.879551246944
1_5_2012-11-09,32664.067834528654
1_5_2012-11-16,24722.040561903865
1_5_2012-11-23,55591.76989369499
1_5_2012-11-30,23531.742817188213
1_5_2012-12-07,42744.87847715104
1_5_2012-12-14,39718.73470566487
1_5_2012-12-21,51321.76320946317
1_5_2012-12-28,36888.52067188248
1_5_2013-01-04,19695.321311333355
1_5_2013-01-11,19858.962134011024
1_5_2013-01-18,20222.44284339252
1_5_2013-01-25,20299.436837226058
1_5_2013-02-01,32135.819822563633
1_5_2013-02-08,34615.77439309756
1_5_2013-02-15,38783.76517751842
1_5_2013-02-22,29604.36645954223
1_5_2013-03-01,26777.293996202745
1_5_2013-03-08,23661.38873311931
1_5_2013-03-15,26992.452593915343
1_5_2013-03-22,24632.271524295917
1_5_2013-03-29,22962.58685663707
1_5_2013-04-05,24047.146466559207
1_5_2013-04-12,18008.001134524096
1_5_2013-04-19,18836.443552749588
1_5_2013-04-26,19135.012651301975
1_5_2013-05-03,17122.41669809987
1_5_2013-05-10,15728.95031495108
1_5_2013-05-17,16230.255837771881
1_5_2013-05-24,16541.179855380167
1_5_2013-05-31,14563.272748407506
1_5_2013-06-07,22588.93608216181
1_5_2013-06-14,18791.100260522857
1_5_2013-06-21,21503.18632136853
1_5_2013-06-28,18698.04106698072
1_5_2013-07-05,16890.45322988968
1_5_2013-07-12,16072.587413227127
1_5_2013-07-19,16719.8474466009
1_5_2013-07-26,14120.2163734533
1_6_2012-11-02,5486.804627335287
1_6_2012-11-09,3603.5484608248407
1_6_2012-11-16,2037.6315790819276
1_6_2012-11-23,14597.054295474913
1_6_2012-11-30,3555.3508616070594
1_6_2012-12-07,7368.5061506725515
1_6_2012-12-14,9072.692794618544
1_6_2012-12-21,16251.162023398947
1_6_2012-12-28,6664.169704203001
1_6_2013-01-04,1832.9881333668025
1_6_2013-01-11,1124.401804279355
1_6_2013-01-18,1206.5672051233585
1_6_2013-01-25,428.30913311461074
1_6_2013-02-01,3609.739378619381
1_6_2013-02-08,6183.478467793178
1_6_2013-02-15,3545.829595391107
1_6_2013-02-22,3230.991174098352
1_6_2013-03-01,5241.858520344112
1_6_2013-03-08,3255.737339397085
1_6_2013-03-15,3238.6964527519795
1_6_2013-03-22,2287.93917505067
1_6_2013-03-29,3643.5376642764945
1_6_2013-04-05,3280.909477716113
1_6_2013-04-12,3112.840243661323
1_6_2013-04-19,1859.1485714581631
1_6_2013-04-26,2107.6546361412916
1_6_2013-05-03,4489.774242416321
1_6_2013-05-10,3319.4140269447084
1_6_2013-05-17,5419.178514966817
1_6_2013-05-24,4582.218260508239
1_6_2013-05-31,2951.8579073104015
1_6_2013-06-07,2944.156653257464
1_6_2013-06-14,2069.4457256399014
1_6_2013-06-21,2740.356823073572
1_6_2013-06-28,2674.8090025517226
1_6_2013-07-05,830.3114425558894
1_6_2013-07-12,825.9748284468211
1_6_2013-07-19,1441.8217407804625
1_6_2013-07-26,471.46454775980396
1_7_2012-11-02,29661.429773045587
1_7_2012-11-09,32281.7480309045
1_7_2012-11-16,20125.90972012835
1_7_2012-11-23,56751.08214746803
1_7_2012-11-30,19771.825527657875
1_7_2012-12-07,63919.74327730097
1_7_2012-12-14,62646.3184980179
1_7_2012-12-21,101987.1255676334
1_7_2012-12-28,47669.93556621937
1_7_2013-01-04,11774.652715066652
1_7_2013-01-11,16953.39415759102
1_7_2013-01-18,18457.195715738853
1_7_2013-01-25,17952.900492056495
1_7_2013-02-01,24714.89187289807
1_7_2013-02-08,27466.719502683038
1_7_2013-02-15,23746.19263440051
1_7_2013-02-22,24755.81582505245
1_7_2013-03-01,26435.172947709252
1_7_2013-03-08,26495.905275954683
1_7_2013-03-15,29488.558198575556
1_7_2013-03-22,25222.07473562726
1_7_2013-03-29,26941.017608799622
1_7_2013-04-05,33645.62510495039
1_7_2013-04-12,28467.156863807097
1_7_2013-04-19,29314.288057044316
1_7_2013-04-26,29157.28357933311
1_7_2013-05-03,33971.3592529814
1_7_2013-05-10,33947.372284921315
1_7_2013-05-17,29770.438742472936
1_7_2013-05-24,36327.76230770642
1_7_2013-05-31,35783.514615457694
1_7_2013-06-07,38837.803933601805
1_7_2013-06-14,37747.22308546899
1_7_2013-06-21,38625.11932639813
1_7_2013-06-28,38273.013243957095
1_7_2013-07-05,36230.605748688686
1_7_2013-07-12,30601.166873969807
1_7_2013-07-19,32664.141050841135
1_7_2013-07-26,34181.0837113375
1_8_2012-11-02,41540.888055744486
1_8_2012-11-09,40246.05741888315
1_8_2012-11-16,39705.007874099
1_8_2012-11-23,39179.456457145476
1_8_2012-11-30,40268.52829092359
1_8_2012-12-07,42524.14661136511
1_8_2012-12-14,41179.043581301914
1_8_2012-12-21,45629.79975699727
1_8_2012-12-28,39821.11083093648
1_8_2013-01-04,41571.073927770994
1_8_2013-01-11,39982.7313809748
1_8_2013-01-18,40892.035629251164
1_8_2013-01-25,39315.63056484301
1_8_2013-02-01,44666.35977820499
1_8_2013-02-08,44350.366607395816
1_8_2013-02-15,43739.24499561591
1_8_2013-02-22,42984.610717848635
1_8_2013-03-01,44625.17069670228
1_8_2013-03-08,42829.3677702647
1_8_2013-03-15,43072.681586585866
1_8_2013-03-22,40727.527356583036
1_8_2013-03-29,41986.86120511943
1_8_2013-04-05,46015.02561225082
1_8_2013-04-12,43773.76097803058
1_8_2013-04-19,42941.207107121954
1_8_2013-04-26,43200.82997124361
1_8_2013-05-03,47535.44004073365
1_8_2013-05-10,45536.102243871006
1_8_2013-05-17,45117.503332577544
1_8_2013-05-24,45486.88868891432
1_8_2013-05-31,47122.23367282111
1_8_2013-06-07,46702.177333266736
1_8_2013-06-14,45656.69668787712
1_8_2013-06-21,45360.92739655673
1_8_2013-06-28,44382.274705980744
1_8_2013-07-05,47355.682221649346
1_8_2013-07-12,44097.689127133344
1_8_2013-07-19,45025.21345742817
1_8_2013-07-26,43957.120972118115
1_9_2012-11-02,52562.21330240709
1_9_2012-11-09,41455.06481858317
1_9_2012-11-16,39947.493062287715
1_9_2012-11-23,49440.819380560904
1_9_2012-11-30,35561.84656553471
1_9_2012-12-07,36035.12000388085
1_9_2012-12-14,37401.938454788804
1_9_2012-12-21,43851.868365896196
1_9_2012-12-28,30265.166879013042
1_9_2013-01-04,17473.639348258526
1_9_2013-01-11,16118.363594302835
1_9_2013-01-18,16300.472421162667
1_9_2013-01-25,17688.20905853266
1_9_2013-02-01,25669.53611346855
1_9_2013-02-08,25457.095672978467
1_9_2013-02-15,26777.029915374438
1_9_2013-02-22,27348.361028511572
1_9_2013-03-01,37710.4181625956
1_9_2013-03-08,35472.94738495622
1_9_2013-03-15,41568.47675270357
1_9_2013-03-22,36893.011099121475
1_9_2013-03-29,47651.233800332906
1_9_2013-04-05,37471.38538059735
1_9_2013-04-12,35063.04298367085
1_9_2013-04-19,34261.000735369445
1_9_2013-04-26,36893.30828885766
1_9_2013-05-03,33899.73535705682
1_9_2013-05-10,31565.968860430152
1_9_2013-05-17,31439.663525357806
1_9_2013-05-24,33908.94541882649
1_9_2013-05-31,36396.63398205448
1_9_2013-06-07,33927.295258736885
1_9_2013-06-14,35087.00431672658
1_9_2013-06-21,33903.26265312615
1_9_2013-06-28,32712.313110535604
1_9_2013-07-05,31962.86320484738
1_9_2013-07-12,23282.06215136548
1_9_2013-07-19,26882.228708394556
1_9_2013-07-26,26833.387866785335
1_10_2012-11-02,29092.8422318572
1_10_2012-11-09,30407.598448262484
1_10_2012-11-16,28176.084060719044
1_10_2012-11-23,28785.00161056091
1_10_2012-11-30,29152.508949376475
1_10_2012-12-07,28315.794215416405
1_10_2012-12-14,28048.147824817403
1_10_2012-12-21,29015.622863061348
1_10_2012-12-28,26484.032499919293
1_10_2013-01-04,25362.441971509925
1_10_2013-01-11,22884.209851594784
1_10_2013-01-18,23761.859819676443
1_10_2013-01-25,20389.767041806746
1_10_2013-02-01,31905.178985289836
1_10_2013-02-08,32517.989049916825
1_10_2013-02-15,34151.09769683612
1_10_2013-02-22,32616.845466495866
1_10_2013-03-01,35075.42540426404
1_10_2013-03-08,33913.358811036196
1_10_2013-03-15,33360.35323126701
1_10_2013-03-22,30319.459892545856
1_10_2013-03-29,35978.63506077693
1_10_2013-04-05,32316.088844795624
1_10_2013-04-12,29417.443194682262
1_10_2013-04-19,30181.13111136688
1_10_2013-04-26,27729.53289132985
1_10_2013-05-03,30079.472071439734
1_10_2013-05-10,29195.77427200735
1_10_2013-05-17,27272.77988147138
1_10_2013-05-24,27725.129202097658
1_10_2013-05-31,29094.32527001387
1_10_2013-06-07,31190.67059672598
1_10_2013-06-14,29654.17720017874
1_10_2013-06-21,29586.380991550148
1_10_2013-06-28,27782.469206074496
1_10_2013-07-05,30622.166778476494
1_10_2013-07-12,28144.151968929207
1_10_2013-07-19,26780.84921042375
1_10_2013-07-26,26558.818562248318
1_11_2012-11-02,25647.3036873969
1_11_2012-11-09,24972.96703239779
1_11_2012-11-16,24705.816561733
1_11_2012-11-23,25399.772677504054
1_11_2012-11-30,25532.758485652434
1_11_2012-12-07,31197.655830207834
1_11_2012-12-14,29716.20730090591
1_11_2012-12-21,30587.463445994617
1_11_2012-12-28,29606.23493515802
1_11_2013-01-04,22643.640296318816
1_11_2013-01-11,22533.259517092505
1_11_2013-01-18,22212.83899947274
1_11_2013-01-25,21866.077543448948
1_11_2013-02-01,21729.994540864314
1_11_2013-02-08,21910.220673519612
1_11_2013-02-15,21938.86273420488
1_11_2013-02-22,21373.003210214127
1_11_2013-03-01,22481.016690105447
1_11_2013-03-08,22327.93036111043
1_11_2013-03-15,22473.402060510758
1_11_2013-03-22,22301.34012611597
1_11_2013-03-29,22224.026557253972
1_11_2013-04-05,24723.71235568408
1_11_2013-04-12,23869.011334885763
1_11_2013-04-19,24035.716767904327
1_11_2013-04-26,23461.6220760899
1_11_2013-05-03,25941.698851332527
1_11_2013-05-10,25554.450303777303
1_11_2013-05-17,24883.937366026817
1_11_2013-05-24,25079.244847731403
1_11_2013-05-31,25317.69926300084
1_11_2013-06-07,33523.1876873804
1_11_2013-06-14,32667.132806298458
1_11_2013-06-21,31841.893583695393
1_11_2013-06-28,33900.20619368045
1_11_2013-07-05,29764.069697363582
1_11_2013-07-12,28892.69885623865
1_11_2013-07-19,28697.58528765967
1_11_2013-07-26,29590.3413999615
1_12_2012-11-02,10076.427889294964
1_12_2012-11-09,10129.731271651337
1_12_2012-11-16,10200.833669379508
1_12_2012-11-23,10265.161090088715
1_12_2012-11-30,10420.408804932245
1_12_2012-12-07,8078.445450835853
1_12_2012-12-14,8037.608850200977
1_12_2012-12-21,8085.601552138281
1_12_2012-12-28,8063.953875435218
1_12_2013-01-04,8499.692057374743
1_12_2013-01-11,8464.08913601216
1_12_2013-01-18,8467.553157768962
1_12_2013-01-25,8338.193936690353
1_12_2013-02-01,9886.324940399843
1_12_2013-02-08,9797.680402095652
1_12_2013-02-15,9731.515141217553
1_12_2013-02-22,9717.347299922603
1_12_2013-03-01,12417.426834707421
1_12_2013-03-08,12358.731662788668
1_12_2013-03-15,12401.086062456152
1_12_2013-03-22,12372.696111270525
1_12_2013-03-29,12496.15498858586
1_12_2013-04-05,12069.251255879697
1_12_2013-04-12,12151.170119446304
1_12_2013-04-19,12164.021862449652
1_12_2013-04-26,12048.28121767455
1_12_2013-05-03,12492.890618097495
1_12_2013-05-10,12518.42372719997
1_12_2013-05-17,12516.15153866212
1_12_2013-05-24,12658.527724734344
1_12_2013-05-31,12494.325795902256
1_12_2013-06-07,11655.911753463031
1_12_2013-06-14,11807.688287348017
1_12_2013-06-21,11704.031036410805
1_12_2013-06-28,11738.010968844595
1_12_2013-07-05,11888.348276103603
1_12_2013-07-12,11625.698380463302
1_12_2013-07-19,12087.54018423548
1_12_2013-07-26,11810.962829894968
1_13_2012-11-02,42084.644061578845
1_13_2012-11-09,39161.31209019312
1_13_2012-11-16,38816.801301381114
1_13_2012-11-23,40185.44125641036
1_13_2012-11-30,39906.617567676825
1_13_2012-12-07,37886.80653361074
1_13_2012-12-14,34134.81644302387
1_13_2012-12-21,38588.65929604691
1_13_2012-12-28,32171.357700743614
1_13_2013-01-04,41291.653574703305
1_13_2013-01-11,38822.86555392516
1_13_2013-01-18,40178.68863040555
1_13_2013-01-25,34439.17466942706
1_13_2013-02-01,41755.86981292222
1_13_2013-02-08,42594.931421252724
1_13_2013-02-15,39462.39689721898
1_13_2013-02-22,38740.1374319122
1_13_2013-03-01,42083.83880485823
1_13_2013-03-08,39763.90608949619
1_13_2013-03-15,39435.54800198588
1_13_2013-03-22,38886.60979555249
1_13_2013-03-29,37003.6953270486
1_13_2013-04-05,42461.49910751006
1_13_2013-04-12,38733.980910485836
1_13_2013-04-19,39623.38026556603
1_13_2013-04-26,37359.45620097597
1_13_2013-05-03,42618.7020665108
1_13_2013-05-10,39885.179734756035
1_13_2013-05-17,39389.6762907005
1_13_2013-05-24,38593.3454265626
1_13_2013-05-31,39882.696141018365
1_13_2013-06-07,42275.87090456282
1_13_2013-06-14,40251.806022613426
1_13_2013-06-21,39983.95889462933
1_13_2013-06-28,39247.626930448576
1_13_2013-07-05,42218.035512258095
1_13_2013-07-12,39393.195626684246
1_13_2013-07-19,40689.87101071761
1_13_2013-07-26,36253.24172698134
1_14_2012-11-02,15721.951537733943
1_14_2012-11-09,16585.885858588816
1_14_2012-11-16,17512.864456353494
1_14_2012-11-23,38796.16097537537
1_14_2012-11-30,17222.92100090636
1_14_2012-12-07,28814.355313199405
1_14_2012-12-14,31786.081739570956
1_14_2012-12-21,48717.40203530458
1_14_2012-12-28,29648.010677764407
1_14_2013-01-04,12813.300778123683
1_14_2013-01-11,13428.971218817409
1_14_2013-01-18,11898.894733214098
1_14_2013-01-25,11762.399637028693
1_14_2013-02-01,18052.91793100667
1_14_2013-02-08,20143.63911929432
1_14_2013-02-15,22941.745914497587
1_14_2013-02-22,20022.283889193845
1_14_2013-03-01,19980.055430097113
1_14_2013-03-08,17363.02994626906
1_14_2013-03-15,13930.02494883507
1_14_2013-03-22,14056.086215003186
1_14_2013-03-29,15777.425860550033
1_14_2013-04-05,15017.78628166121
1_14_2013-04-12,14264.70444725553
1_14_2013-04-19,12861.400854233687
1_14_2013-04-26,14121.684959011021
1_14_2013-05-03,15848.802596887352
1_14_2013-05-10,14986.944382092786
1_14_2013-05-17,15870.599900598942
1_14_2013-05-24,13583.274912852028
1_14_2013-05-31,14513.534852707115
1_14_2013-06-07,11399.219146572243
1_14_2013-06-14,12797.852716822883
1_14_2013-06-21,11440.772673697875
1_14_2013-06-28,15133.18713321221
1_14_2013-07-05,16841.340196824694
1_14_2013-07-12,11979.345137632317
1_14_2013-07-19,10008.411260777773
1_14_2013-07-26,10710.270398718805
1_16_2012-11-02,5571.457057144601
1_16_2012-11-09,5468.5278770187915
1_16_2012-11-16,5416.99111905098
1_16_2012-11-23,6766.462994293708
1_16_2012-11-30,5001.610855647638
1_16_2012-12-07,4771.78950481402
1_16_2012-12-14,4887.039143285318
1_16_2012-12-21,5435.424053052683
1_16_2012-12-28,4755.563128036964
1_16_2013-01-04,6061.171733496149
1_16_2013-01-11,5697.091576464519
1_16_2013-01-18,5918.913121483437
1_16_2013-01-25,6029.4889020560295
1_16_2013-02-01,13012.147329245276
1_16_2013-02-08,13361.247906244542
1_16_2013-02-15,12984.447803796145
1_16_2013-02-22,16881.821333550048
1_16_2013-03-01,38188.05361108373
1_16_2013-03-08,37819.31511393077
1_16_2013-03-15,41985.40741709133
1_16_2013-03-22,40258.07108780832
1_16_2013-03-29,44558.4625293551
1_16_2013-04-05,60679.90064583636
1_16_2013-04-12,56678.22407637511
1_16_2013-04-19,52857.74870593029
1_16_2013-04-26,55952.13940317194
1_16_2013-05-03,46200.31749599582
1_16_2013-05-10,43569.01141222374
1_16_2013-05-17,45056.576023455775
1_16_2013-05-24,47920.46289360366
1_16_2013-05-31,46178.37543508821
1_16_2013-06-07,36948.569008639985
1_16_2013-06-14,39537.31666468343
1_16_2013-06-21,41640.50125448367
1_16_2013-06-28,41961.03106684464
1_16_2013-07-05,30905.80463064203
1_16_2013-07-12,21653.574722268386
1_16_2013-07-19,27566.761515894425
1_16_2013-07-26,27411.75784146197
1_17_2012-11-02,9217.169371679278
1_17_2012-11-09,8812.476517148965
1_17_2012-11-16,9778.863177795614
1_17_2012-11-23,11033.88106249205
1_17_2012-11-30,9220.79418275242
1_17_2012-12-07,11800.176745403123
1_17_2012-12-14,11797.670174656481
1_17_2012-12-21,15545.081587856504
1_17_2012-12-28,10871.265846522036
1_17_2013-01-04,7728.864415065122
1_17_2013-01-11,8892.836242498237
1_17_2013-01-18,8009.636775335903
1_17_2013-01-25,7821.475612115237
1_17_2013-02-01,10799.734559503111
1_17_2013-02-08,11797.586770472368
1_17_2013-02-15,12232.598162817914
1_17_2013-02-22,10737.241394598575
1_17_2013-03-01,11184.20073556019
1_17_2013-03-08,11279.07032747331
1_17_2013-03-15,9730.548571697444
1_17_2013-03-22,9620.66389334677
1_17_2013-03-29,10309.977372054625
1_17_2013-04-05,8991.496624242911
1_17_2013-04-12,7975.7135720406095
1_17_2013-04-19,9177.229648286744
1_17_2013-04-26,8498.692037458517
1_17_2013-05-03,9445.018992086942
1_17_2013-05-10,8607.272563200462
1_17_2013-05-17,9641.170609258665
1_17_2013-05-24,8367.652543313216
1_17_2013-05-31,8595.734683881388
1_17_2013-06-07,9193.759934782305
1_17_2013-06-14,7889.612580922281
1_17_2013-06-21,8648.782151530071
1_17_2013-06-28,8965.81137790076
1_17_2013-07-05,8596.507715729025
1_17_2013-07-12,8293.26647905109
1_17_2013-07-19,8278.53398003362
1_17_2013-07-26,9059.359333507908
1_18_2012-11-02,10908.121759360463
1_18_2012-11-09,10894.34811475725
1_18_2012-11-16,11441.973877933651
1_18_2012-11-23,12718.9080521115
1_18_2012-11-30,12938.901324397597
1_18_2012-12-07,24348.02168854705
1_18_2012-12-14,24642.346959522663
1_18_2012-12-21,25684.756230740935
1_18_2012-12-28,33788.783737836246
1_18_2013-01-04,9021.91963268074
1_18_2013-01-11,5890.428273938823
1_18_2013-01-18,10262.60307440197
1_18_2013-01-25,24363.288121135083
1_18_2013-02-01,41819.90683605032
1_18_2013-02-08,31952.539839855162
1_18_2013-02-15,26964.16650134158
1_18_2013-02-22,18037.10575668505
1_18_2013-03-01,15378.621642998634
1_18_2013-03-08,1990.4598339929744
1_18_2013-03-15,200.2141910439364
1_18_2013-03-22,1148.4293314033348
1_18_2013-03-29,1505.5577053317566
1_18_2013-04-05,3183.545342346977
1_18_2013-04-12,11617.86132984664
1_18_2013-04-19,23430.397781705404
1_18_2013-04-26,0.0
1_18_2013-05-03,0.0
1_18_2013-05-10,0.0
1_18_2013-05-17,0.0
1_18_2013-05-24,240.4731768220959
1_18_2013-06-07,11441.598122457119
1_18_2013-07-05,0.0
1_19_2012-11-02,999.5218320597608
1_19_2012-11-09,1106.8318240365338
1_19_2012-11-16,1065.1494625230475
1_19_2012-11-23,974.3903370523758
1_19_2012-11-30,871.4091432202017
1_19_2012-12-07,1061.0787561400675
1_19_2012-12-14,829.417099772578
1_19_2012-12-21,1191.0787361234575
1_19_2012-12-28,1094.089688499811
1_19_2013-01-04,665.2509767756072
1_19_2013-01-11,769.3810558928956
1_19_2013-01-18,718.1834375710359
1_19_2013-01-25,622.3080135444037
1_19_2013-02-01,1214.0068238533527
1_19_2013-02-08,1110.6722099567262
1_19_2013-02-15,1127.8643819426534
1_19_2013-02-22,1262.9968017316319
1_19_2013-03-01,1150.563086104749
1_19_2013-03-08,1296.7463615666325
1_19_2013-03-15,1082.640311046631
1_19_2013-03-22,1194.5895626366798
1_19_2013-03-29,1302.121818047639
1_19_2013-04-05,1088.335320123828
1_19_2013-04-12,1018.1551075496164
1_19_2013-04-19,1242.3214202908748
1_19_2013-04-26,917.1262218120397
1_19_2013-05-03,995.4138980312164
1_19_2013-05-10,879.8576664650463
1_19_2013-05-17,726.3424490423778
1_19_2013-05-24,777.239682513246
1_19_2013-05-31,988.8189826670412
1_19_2013-06-07,752.9230262873637
1_19_2013-06-14,752.9128669334821
1_19_2013-06-21,914.1804420394094
1_19_2013-06-28,785.0796799323348
1_19_2013-07-05,978.2407886105611
1_19_2013-07-12,932.3008327173
1_19_2013-07-19,996.0939451359648
1_19_2013-07-26,1057.0295211365415
1_20_2012-11-02,3186.984240386895
1_20_2012-11-09,3206.341609463984
1_20_2012-11-16,2866.9722266411472
1_20_2012-11-23,3707.662832319078
1_20_2012-11-30,2939.55653452341
1_20_2012-12-07,3369.832906751437
1_20_2012-12-14,3358.2443428683687
1_20_2012-12-21,3849.7872882295137
1_20_2012-12-28,3382.112283975015
1_20_2013-01-04,3069.8567189595337
1_20_2013-01-11,3473.358522309722
1_20_2013-01-18,3268.8593307662436
1_20_2013-01-25,3107.364281792873
1_20_2013-02-01,4357.808646613572
1_20_2013-02-08,4749.469389507416
1_20_2013-02-15,4548.329073809556
1_20_2013-02-22,4234.602892056697
1_20_2013-03-01,4688.729335650467
1_20_2013-03-08,5231.796562413068
1_20_2013-03-15,4600.885104837935
1_20_2013-03-22,4411.339610197472
1_20_2013-03-29,4975.396598000244
1_20_2013-04-05,3527.587814147986
1_20_2013-04-12,3476.7416265221973
1_20_2013-04-19,3657.9194532159363
1_20_2013-04-26,3742.692927481109
1_20_2013-05-03,4404.7172720547105
1_20_2013-05-10,4277.653414762558
1_20_2013-05-17,4580.271838307535
1_20_2013-05-24,4329.249886180839
1_20_2013-05-31,4263.264780893164
1_20_2013-06-07,5322.267328030114
1_20_2013-06-14,4876.335526540923
1_20_2013-06-21,5336.59491392139
1_20_2013-06-28,5048.764069671561
1_20_2013-07-05,4778.4261494049115
1_20_2013-07-12,4127.1150299021065
1_20_2013-07-19,4671.323846402238
